X,Y,OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear
-119.082791606,46.252390694,17,2021/12/31 08:00:00+00,395,395,,,29.549999,15000,,,,Bothways,"After Milepost 22.78 A: RIGHT OFF RAMP SR 182 WB,  LEFT ON RAMP SR 182 WB, END BOTHWAYS BRIDGE SR 182",{1D8A8A28-7367-4F11-B6A0-AD462AB65855},2021
-122.899373397,46.1440243370001,18,2021/12/31 08:00:00+00,004,004,,,62.16,18000,,,,Bothways,Before Milepost 62.18 A: LEFT INTERSECTION ALLEN DR,{A2778C96-A588-46F5-8203-AD562333B266},2021
-122.764570254,47.057198531,19,2021/12/31 08:00:00+00,510,510,,,0.46000001,24000,,,,Bothways,Before Milepost 0.48 A: LEFT WYE CONNECTION MARTIN WAY SE,{5FB2941E-DF9D-4926-8E9B-D023079431A7},2021
-122.515740046,47.290950245,20,2021/12/31 08:00:00+00,163,163,,,2.3399999,8100,,,,Bothways,After Milepost 2.33 A: BOTHWAYS INTERSECTION N 46TH ST,{8BEBED62-4FE3-4CD4-9DF6-8B07D4B7CBC0},2021
-122.113404497,48.151562369,21,2021/12/31 08:00:00+00,531,531,,,9.8699999,11000,,,,Bothways,"Before Milepost 9.88 A: BOTHWAYS ROUNDABOUT SR 9, END ROUTE",{E683C663-3A69-4331-BEEC-B2FE1BDCB28C},2021
-121.16135142,48.7119123260001,22,2021/12/31 08:00:00+00,020,020,,,125.47,1500,4.6399999,2.54,0.50999999,Bothways,After Milepost 125.96 A: LEFT WYE CONNECTION DIABLO RD,{FB034B4F-EC09-4EA7-AEF3-C396D55AABFF},2021
-122.91474754,46.1503905320001,23,2021/12/31 08:00:00+00,411,411,,,2.01,15000,,,,Bothways,After Milepost 2.00 A: LEFT INTERSECTION FISHERS LN,{68346288-52FB-48EF-BBD8-139B28A50131},2021
-117.073000356,47.223189758,24,2021/12/31 08:00:00+00,027,027,,,50.560001,1300,,,,Bothways,After Milepost 48.25 A: BOTHWAYS INTERSECTION HENKLE ST,{EDE1E0A7-E1BF-4CD7-8A1D-82AF09CD6A8C},2021
-119.234319448,46.2338753400001,25,2021/12/31 08:00:00+00,240,240,,,36.509998,54000,,,,Bothways,Before Milepost 38.38 A: LEFT ON RAMP COLUMBIA CENTER BLVD,{04E677A3-CBBF-4CE8-BAF0-610EDA270C88},2021
-119.853529698,47.119050099,26,2021/12/31 08:00:00+00,281,281,,,2.6400001,6300,6.8699999,12.47,4.3400002,Bothways,Before Milepost 2.65 A: RIGHT INTERSECTION SR 281 SPBURKE (SPUR),{2B246A11-FF86-47B9-B065-3C074D3C1418},2021
-123.718131393,48.0866764240001,27,2021/12/31 08:00:00+00,101,101,,,231.84,3500,,,,Bothways,Before Milepost 232.57 A: RIGHT INTERSECTION LK SUTHERLAND RD,{D9DD02F7-3794-4368-95B5-B515C1184E46},2021
-122.446419667,47.2301795810001,28,2021/12/31 08:00:00+00,005,005,,,133.05,158000,,,,Bothways,After Milepost 133.06 A: RIGHT CENTER ON RAMP SR 16 EB (HOV ONLY),{772416C9-0B06-44BB-B1CA-0DA5A3651A3C},2021
-122.3001786,47.9221422090001,29,2021/12/31 08:00:00+00,525,525,,,6.6900001,19000,3.74,0.74000001,0.16,Bothways,"After Milepost 6.51 A: RIGHT INTERSECTION SR 526,  LEFT INTERSECTION 84TH ST SW",{2B63282E-C713-49D1-9497-3F3DBBDFF278},2021
-118.686903313,47.1916822600001,30,2021/12/31 08:00:00+00,021,021,,,45.529999,180,10.68,9.71,2.9100001,Bothways,Before Milepost 45.54 A: BOTHWAYS INTERSECTION SEIDL RD,{736196D5-AC31-402F-B23C-0F8CA5B6EC54},2021
-117.2244753,46.733781154,31,2021/12/31 08:00:00+00,195,195,,,22.559999,3900,5.6399999,8.8000002,1.28,Bothways,At Milepost 22.20 A: PERMANENT TRAFFIC RECORDER P14,{C3C7D5B6-409A-4E78-B983-8FCE0362EF99},2021
-122.690491984,45.8156982150001,32,2021/12/31 08:00:00+00,501,501,,,12.46,23000,,,,Bothways,"After Milepost 19.63 A: RIGHT ROUNDABOUT S 56TH PL,  LEFT ROUNDABOUT N 56TH PL (FUTURE)",{C571482B-FFAB-4E1D-ADAB-892AA1BF80C7},2021
-122.461790049,48.0044243200001,33,2021/12/31 08:00:00+00,525,525,,,14.97,12000,,,,Bothways,After Milepost 14.68 A: BOTHWAYS INTERSECTION BAYVIEW RD,{B7E7AEC9-94D6-401F-998B-02B04AFAAFCC},2021
-122.328646623,47.621995747,34,2021/12/31 08:00:00+00,005RL005EXP,005,RL,005EXP,1.35,34000,,,,Bothways,After Milepost 166.63 A: LEFT ON RAMP STEWART ST (REVERSIBLE),{C0D97219-EF76-4941-A670-7DE1B551A659},2021
-119.684477117,48.103407594,35,2021/12/31 08:00:00+00,017,017,,,136.61,2400,,,,Bothways,Before Milepost 144.24 A: LEFT ENTRANCE/EXIT WEIGH STATION,{53A3D06D-6A5B-4ED0-BC03-5893A38A20EB},2021
-122.585659802,45.6110869780001,36,2021/12/31 08:00:00+00,014,014,,,4.3600001,60000,,,,Bothways,At Milepost 4.35 A: BOTHWAYS UNDERCROSSING LIESER RD,{8525AEF8-7124-4C78-974A-63CCD517C9EF},2021
-122.673703473,46.3612961760001,37,2021/12/31 08:00:00+00,504,504,,,14.68,990,10.99,4.0100002,1.24,Bothways,Before Milepost 14.72 A: LEFT INTERSECTION SR 505,{D486C911-AFD4-43A1-BD87-75D641E7E4A4},2021
-124.259630722,48.2491620500001,38,2021/12/31 08:00:00+00,112,112,,,17.129999,2200,,,,Bothways,"Before Milepost 17.16 A: RIGHT INTERSECTION WEEL RD,  LEFT INTERSECTION EAGLE CREST WAY",{B79404B3-3C39-407A-8ADD-BE8E7DD5EED4},2021
-117.069364351,46.419911359,39,2021/12/31 08:00:00+00,012,012,,,429.34,3400,10,11.49,1.6,Bothways,"Before Milepost 432.62 A: RIGHT INTERSECTION 15TH ST (OLD SR 128),  LEFT INTERSECTION SR 128",{BE3653EF-FBD7-49B6-BEAB-D8117E69B47D},2021
-122.486103143,48.78269125,40,2021/12/31 08:00:00+00,005LX25621,005,LX,25621,0.039999999,39000,2.29,1.11,0.090000004,Bothways,On LX RAMP (MERIDIAN ST) At BOTHWAYS UNDERCROSSING SR 5 SB,{F54D002A-56DF-4205-BB8D-E79707A45FE1},2021
-120.586606014,47.002286113,41,2021/12/31 08:00:00+00,090,090,,,104.66,32000,,,,Bothways,After Milepost 106.37 A: LEFT OFF RAMP SR 97,{A27AF52E-E3BA-4D16-87B1-204FA7D46AD1},2021
-118.167947852,46.2690494710001,42,2021/12/31 08:00:00+00,124,124,,,43.990002,1500,8.6300001,8.3299999,1.3200001,Bothways,At Milepost 44.20 A: BEGIN BOTHWAYS BRIDGE COPPEI CREEK,{56598FDB-C8A9-441C-8455-3BFB7AD6B1B5},2021
-121.998121814,47.6312892600001,43,2021/12/31 08:00:00+00,202,202,,,13.78,10000,5.0700002,2.3,0.25,Bothways,"After Milepost 13.84 A: LEFT WYE CONNECTION NE AMES LAKE RD, BEGIN BOTHWAYS BRIDGE PATTERSON CREEK",{523DCAE9-9846-4C19-A818-CE380593BC8F},2021
-122.189571393,47.979074645,44,2021/12/31 08:00:00+00,002,002,,,0.14,23000,,,,Bothways,"After Milepost 0.00 A: BEGIN DECREASING BRIDGE W-W RAMP,  INCREASING UNDERCROSSING SR 5 SB,  DECREASING UNDERCROSSING SR 5 SB",{81B3F0DD-2BDC-4208-B68B-63DCF7981F79},2021
-122.243417397,47.904254861,45,2021/12/31 08:00:00+00,099,099,,,47.119999,16000,2.8900001,0.85000002,0,Bothways,After Milepost 53.53 A: RIGHT WYE CONNECTION SR 99,{7C2E84A3-2400-45E8-8CE9-3A63526339B6},2021
-119.066614239,46.1268494020001,46,2021/12/31 08:00:00+00,397,397,,,7.2399998,890,7.5100002,7.29,0.89999998,Bothways,After Milepost 7.23 A: RIGHT WYE CONNECTION NINE CANYON RD,{7BC1AAA3-788E-4535-8BAA-7EC1BC71ABB7},2021
-122.90193445,46.1568465930001,47,2021/12/31 08:00:00+00,005,005,,,40.759998,52000,,,,Bothways,At Milepost 40.69 A: BEGIN DECREASING BRIDGE N KELSO AVE (OLD SR 431),{16B95084-9DB8-4650-A323-B9A23AAA0070},2021
-122.278924638,47.4653600600001,48,2021/12/31 08:00:00+00,518,518,,,2.6800001,117000,,,,Bothways,Before Milepost 3.08 A: LEFT ON RAMP 51ST AVE S,{0EB605F5-DC26-4954-909F-06F7406F23E2},2021
-117.069105727,47.724079155,49,2021/12/31 08:00:00+00,290,290,,,16.83,14000,,,,Bothways,Before Milepost 16.89 A: BOTHWAYS INTERSECTION STARR RD,{C091F1F1-74CE-427F-B6DB-6CA6BDB10919},2021
-122.220732671,47.415827167,50,2021/12/31 08:00:00+00,167,167,,,23.93,123000,,,,Bothways,"After Milepost 22.64 A: RIGHT ON RAMP S 212TH ST,  LEFT OFF RAMP S 212TH ST",{E1EE40D7-71E8-43D0-94AB-FE3AB7AF3385},2021
-118.709215493,47.7593195490001,51,2021/12/31 08:00:00+00,021,021,,,91.720001,380,6.98,1.8,0.89999998,Bothways,"Before Milepost 91.78 A: BOTHWAYS INTERSECTION SR 2, BEGIN COINCIDENT",{D52FAC21-CA39-49B7-B1AA-4A3EFE1A94D0},2021
-119.107075985,46.248486004,52,2021/12/31 08:00:00+00,182,182,,,13.17,54000,,,,Bothways,Before Milepost 13.18 A: LEFT ON RAMP 4TH AVE,{ABCB205A-157F-4902-8AEB-4170B7AB7007},2021
-117.558754204,47.5954399230001,53,2021/12/31 08:00:00+00,090,090,,,270.91,42000,,,,Bothways,After Milepost 273.19 A: RIGHT ON RAMP SR 902,{B4468B30-FB88-4EDA-AE25-30D95C5621ED},2021
-123.155741171,47.252193419,54,2021/12/31 08:00:00+00,102,102,,,2.3900001,3900,6.8600001,2.0699999,0.22,Bothways,Before Milepost 2.40 A: RIGHT INTERSECTION SANDERSON WAY N,{75E0E2BC-B031-4EB1-B5DE-1D839084A2D6},2021
-120.938616004,47.1949246300001,55,2021/12/31 08:00:00+00,903,903,,,1.91,7700,,,,Bothways,After Milepost 1.90 A: BOTHWAYS INTERSECTION PENNSYLVANIA AVE,{B8DC840E-166C-4156-9709-14659D3465A3},2021
-120.474066361,46.5316367470001,56,2021/12/31 08:00:00+00,097,097,,,75.190002,24000,3.27,4.9299998,0.70999998,Bothways,Before Milepost 75.63 A: LEFT ON RAMP UNION GAP-OLD SR 97,{257C7F84-BE60-4600-AED6-5ECF5FC058AC},2021
-117.363513525,48.8605683480001,57,2021/12/31 08:00:00+00,031,031,,,14.82,920,8.7399998,2.74,0.44,Bothways,At Milepost 14.82 A: END BOTHWAYS BRIDGE SULLIVAN CREEK,{819C8223-3286-4950-AAE4-362C39AFFA53},2021
-122.911088558,47.3167121000001,58,2021/12/31 08:00:00+00,003,003,,,14.76,8200,,,,Bothways,After Milepost 14.75 A: RIGHT INTERSECTION GRAPEVIEW LOOP RD,{69F28DEB-27ED-40F7-8BB9-D0C48B120AC8},2021
-122.129699026,48.2004688220001,59,2021/12/31 08:00:00+00,009,009,,,29.58,8400,5.8699999,2.0999999,0.16,Bothways,After Milepost 29.57 A: RIGHT INTERSECTION SR 530,{6872D825-7AE5-4F25-ADEC-09BB76480106},2021
-122.614666084,47.7155720320001,60,2021/12/31 08:00:00+00,305,305,,,9.6300001,22000,,,,Bothways,After Milepost 9.64 A: LEFT INTERSECTION DELATE RD,{CA022C0D-ADB2-4FB9-8157-9ED6B3C26D94},2021
-123.455811044,46.270221038,61,2021/12/31 08:00:00+00,004,004,,,28.959999,1600,,,,Bothways,Before Milepost 28.98 A: LEFT INTERSECTION EAST VALLEY RD,{C8EE5AC1-FC9D-47A8-B210-D2DE56CED167},2021
-122.324085523,47.3972533800001,62,2021/12/31 08:00:00+00,509,509,,,23.379999,18000,3.4400001,0.27000001,0,Bothways,"After Milepost 19.62 A: RIGHT INTERSECTION SR 516,  LEFT WYE CONNECTION OLD SR 509, END COINCIDENT",{941DB279-60F8-495C-AC98-5125F7177892},2021
-122.314937613,46.848032582,63,2021/12/31 08:00:00+00,161,161,,,0.0099999998,400,5.8499999,4.8000002,1.46,Bothways,"After Milepost 0.00 A: BOTHWAYS INTERSECTION SR 7, BEGIN ROUTE",{18C4A0D9-6EDD-41C0-9ECB-3875F0BCC17A},2021
-122.191946764,48.188259294,64,2021/12/31 08:00:00+00,530,530,,,0.52999997,20000,4.1500001,2.5,0.44999999,Bothways,After Milepost 17.47 A: RIGHT INTERSECTION SMOKEY POINT BLVD,{102EBC13-BC28-42D3-9648-D3147C7E20CF},2021
-122.356469763,48.465825927,65,2021/12/31 08:00:00+00,020,020,,,58.349998,28000,,,,Bothways,After Milepost 58.78 A: LEFT WYE CONNECTION PULVER RD,{68C2CA88-4FB0-4FC9-9927-819E85CB21DF},2021
-122.654987302,47.5143008530001,66,2021/12/31 08:00:00+00,016,016,,,24.059999,54000,,,,Bothways,Before Milepost 26.15 A: LEFT ON RAMP CLIFTON RD-TREMONT ST,{946C75CC-36EC-4EE5-BFE3-24E316C46AE2},2021
-122.174569344,47.5766760610001,67,2021/12/31 08:00:00+00,405HI01093,405,HI,01093,0.0099999998,9600,5.8499999,0.52999997,0,Northbound,"After Milepost 0.00 A: RIGHT INTERSECTION SR 405 NB, BEGIN ROUTE",{44DC2BFF-0844-4598-B9C1-2EB6EF74617D},2021
-119.224859281,46.0334718460001,68,2021/12/31 08:00:00+00,082,082,,,122.16,22000,,,,Bothways,Before Milepost 122.20 A: LEFT ON RAMP COFFIN RD,{C17B1CF1-F8B4-44C1-B3B5-1D69AE9ECBAB},2021
-119.601694863,46.1248582170001,69,2021/12/31 08:00:00+00,221,221,,,12.98,2100,6.1399999,26.6,4.5700002,Bothways,At Milepost 13.10 A: PERMANENT TRAFFIC RECORDER P17,{FCA6965C-6EB4-4CA2-90DE-119677153D49},2021
-118.516209748,47.7586644510001,70,2021/12/31 08:00:00+00,002,002,,,222.57001,3000,5.9200001,7.4099998,0.58999997,Bothways,"After Milepost 230.64 A: RIGHT INTERSECTION S F ST,  LEFT INTERSECTION F ST",{B1CE06AC-CD9B-439A-A3A1-90C1AC57FEC0},2021
-117.182401812,46.729136989,71,2021/12/31 08:00:00+00,270,270,,,2.3900001,17000,,,,Bothways,Before Milepost 2.40 A: RIGHT INTERSECTION SR 27-GRAND AVE,{5C779A68-644C-4612-9BE7-7D67631B7A0A},2021
-124.263814338,47.8256628930001,72,2021/12/31 08:00:00+00,101,101,,,177.89,2100,9.0500002,5.9400001,1.24,Bothways,Before Milepost 178.49 A: RIGHT INTERSECTION UPPER HOH RD,{7A960051-E37C-47AF-B961-7543C73F7BC0},2021
-122.818747301,47.0486919790001,73,2021/12/31 08:00:00+00,005,005,,,109.21,92000,,,,Bothways,At Milepost 109.14 A: BEGIN INCREASING BRIDGE MARTIN WAY,{8B29EEEA-05C6-4083-8F96-AA79EFF1241B},2021
-122.208296428,47.809443566,74,2021/12/31 08:00:00+00,524,524,,,9.5900002,19000,,,,Bothways,Before Milepost 9.48 A: BOTHWAYS WYE CONNECTION SR 527,{161C4300-6A6B-4AB0-BD4E-C02151BA91CB},2021
-123.126529522,47.1999715380001,75,2021/12/31 08:00:00+00,101,101,,,346.32999,18000,,,,Bothways,After Milepost 347.29 A: RIGHT ON RAMP SHELTON-MATLOCK RD,{6A7BA898-D36E-4452-83E3-C39453AB3BA4},2021
-122.248832436,47.483002619,76,2021/12/31 08:00:00+00,900,900,,,2.3499999,13000,2.8099999,0.60000002,0.0099999998,Bothways,After Milepost 8.27 A: RIGHT INTERSECTION 68TH AVE S,{858AD09E-6C2D-4745-BD18-327D8835A9BB},2021
-122.699533129,47.5277156750001,77,2021/12/31 08:00:00+00,016,016,,,27.030001,34000,,,,Westbound,After Milepost 29.05 A: RIGHT CENTER INTERSECTION CONNECTION TO SR 16 EB,{ADD80EAE-76DE-458E-A2B1-7CDD93B54D8D},2021
-122.379693783,45.9280065120001,78,2021/12/31 08:00:00+00,503,503,,,24.6,1700,9.2399998,1.6900001,0,Bothways,After Milepost 24.81 A: RIGHT INTERSECTION NE HEALY RD,{4D4D2594-7448-42EF-8E66-BBF634086190},2021
-118.304177802,46.081114912,79,2021/12/31 08:00:00+00,012,012,,,336.03,7800,5.3200002,3.9000001,0.47,Bothways,After Milepost 338.73 A: RIGHT WYE CONNECTION WILBUR AVE,{36A42372-1BD4-482C-AB84-38A508C77385},2021
-122.68465347,47.569586836,80,2021/12/31 08:00:00+00,003LX03829,003,LX,03829,0.039999999,23000,3.9100001,0.60000002,0.0099999998,Bothways,On LX RAMP (KITSAP WAY) After RIGHT WYE CONNECTION AUTO CENTER WAY,{7C5C6B28-EFCF-4E7C-93DC-F1F179C5A7E2},2021
-121.625876085,47.428798192,81,2021/12/31 08:00:00+00,090,090,,,38.43,37000,,,,Bothways,After Milepost 40.03 A: RIGHT ON RAMP GARCIA RD,{4388A72A-C66C-45BF-B873-CE48C95FDD6D},2021
-122.326526706,47.6034433930001,82,2021/12/31 08:00:00+00,005,005,,,165.27,114000,,,,Bothways,Before Milepost 165.30 A: RIGHT CENTER OFF RAMP SENECA ST,{2FF024B9-5961-44D9-B296-1C4E0C0985C0},2021
-122.343600396,47.6247904960001,83,2021/12/31 08:00:00+00,099,099,,,26.450001,39000,,,,Bothways,"After Milepost 32.70 A: RIGHT CENTER ON RAMP HARRISON ST,  LEFT INTERSECTION SR 99 COTUNNEL (COUPLET), END INCREASING BRIDGE MERCER ST",{DEF9EF1B-29F8-43E4-9A62-02193850DC03},2021
-118.074212054,48.6065894980001,84,2021/12/31 08:00:00+00,395,395,,,243.84,8000,,,,Bothways,Before Milepost 239.11 A: RIGHT WYE CONNECTION SR 25,{B45CB85E-8CE6-40CE-8539-0F0733CC0B9C},2021
-122.661453921,45.6925449570001,85,2021/12/31 08:00:00+00,005,005,,,5.3899999,67000,,,,Bothways,At Milepost 5.39 A: BEGIN BOTHWAYS BRIDGE NE 99TH ST,{06A02202-7939-487C-BFB9-E782A1D69F84},2021
-122.197055954,47.4198181450001,86,2021/12/31 08:00:00+00,515,515,,,3.3599999,28000,,,,Bothways,After Milepost 3.38 A: BOTHWAYS INTERSECTION SE 204TH ST,{A0249AD0-714F-4EBF-BFE6-0B165D68B624},2021
-122.258031697,47.2877756290001,87,2021/12/31 08:00:00+00,167,167,,,14.54,101000,,,,Bothways,Before Milepost 13.31 A: LEFT ON RAMP 15TH ST SW,{852A7547-76C0-40B3-9627-2E8F59868A77},2021
-122.332461144,48.814661732,88,2021/12/31 08:00:00+00,542,542,,,7.1399999,7100,3.8599999,3.4400001,0.56,Bothways,After Milepost 7.13 A: BOTHWAYS INTERSECTION SAND RD,{D0ADDB14-7527-4527-A3D7-BD7B70A89DC5},2021
-118.566247052,46.9696058320001,89,2021/12/31 08:00:00+00,021,021,,,24.360001,300,21.780001,5.6100001,0.33000001,Bothways,"Before Milepost 24.37 A: RIGHT OFF RAMP SR 395 NB,  LEFT ON RAMP SR 395 NB",{AE7DFE61-94D3-43D2-8E54-BE1599D1BA59},2021
-122.244833619,47.4608873780001,90,2021/12/31 08:00:00+00,181,181,,,5.8499999,33000,6.1900001,2.6099999,0.039999999,Bothways,"Before Milepost 11.18 A: RIGHT INTERSECTION LONGACRES WAY,  LEFT INTERSECTION PVT RD",{3FE6B734-AD02-456F-8BF2-040681E403F3},2021
-121.921861937,46.742611077,91,2021/12/31 08:00:00+00,706,706,,,13.45,2100,2.6600001,0.38,0.039999999,Bothways,After Milepost 13.44 A: RIGHT INTERSECTION 387TH AVE CT E,{38F4D44D-DE1B-4964-9499-7255361CEA59},2021
-123.006350768,47.055139985,92,2021/12/31 08:00:00+00,101,101,,,359.97,51000,,,,Bothways,After Milepost 361.81 A: RIGHT ON RAMP SR 101,{3158BB38-B910-4A78-B089-D7F30F539676},2021
-118.69892211,47.3326084330001,93,2021/12/31 08:00:00+00,028,028,,,97.459999,1100,7.6700001,3.5699999,0.95999998,Bothways,After Milepost 93.38 A: RIGHT INTERSECTION S FAIRWAY ST,{980E5AEA-A337-4E12-8840-BCD9D00372A9},2021
-119.979024022,46.3383273580001,94,2021/12/31 08:00:00+00,241,241,,,9.7700005,3400,5.2399998,5.0999999,4.3699999,Bothways,At Milepost 9.77 A: BEGIN BOTHWAYS BRIDGE WASTEWATER CANAL NO 5 N,{31EC874B-AFF7-4795-9670-189157E63DC9},2021
-117.044286206,48.1779649860001,95,2021/12/31 08:00:00+00,002,002,,,325.70999,7100,,,,Bothways,"Before Milepost 333.89 A: LEFT INTERSECTION SR 2 CONEWPRT (COUPLET),  LEFT INTERSECTION 4TH ST",{E80ADE82-769F-4889-9AC9-E7C7C341F39C},2021
-120.303609956,47.4110659770001,96,2021/12/31 08:00:00+00,285,285,,,0.72000003,29000,,,,Bothways,After Milepost 0.71 A: BOTHWAYS INTERSECTION FERRY ST,{B539D6C2-9021-46CA-8E78-86720CEBC99F},2021
-122.670793188,47.5522316500001,97,2021/12/31 08:00:00+00,003,003,,,36.849998,49000,,,,Bothways,Before Milepost 36.91 A: LEFT ON RAMP W WERNER RD,{5EC25FEE-0290-4110-925E-F6F5E06D3158},2021
-122.435753286,47.0823961930001,98,2021/12/31 08:00:00+00,507,507,,,43.790001,15000,7.9400001,2.5,0.41999999,Bothways,Before Milepost 43.49 A: RIGHT ENTRANCE/EXIT PARK AND RIDE LOT,{95997CE2-FDFE-4EC2-9EAD-60F4D1E688AC},2021
-119.729546665,46.577297537,99,2021/12/31 08:00:00+00,024,024,,,38.369999,3700,,,,Bothways,Before Milepost 38.43 A: LEFT WYE CONNECTION SR 24,{65DE8EF8-7B9C-458F-B49B-7CCAE2B58B28},2021
-119.50827719,48.403108027,100,2021/12/31 08:00:00+00,155,155,,,77.300003,2400,4.27,3.03,0.18000001,Bothways,"Before Milepost 79.17 A: RIGHT INTERSECTION OMAK RIVERSIDE E'SIDE RD,  LEFT INTERSECTION SINKULEEP RD",{EFBB01D7-D9BF-4CEB-877D-68815AEF18B3},2021
-122.167401113,48.051788392,101,2021/12/31 08:00:00+00,528,528,,,0.81,21000,,,,Bothways,After Milepost 0.80 A: BOTHWAYS INTERSECTION 47TH AVE NE,{785E5AD3-8E65-45B1-B4BF-5A1F037E0983},2021
-122.332842657,48.4173252100001,102,2021/12/31 08:00:00+00,005,005,,,226.37,55000,,,,Bothways,At Milepost 226.39 A: BEGIN BOTHWAYS BRIDGE SR 536,{1BEFF909-87E0-4EC5-BA6D-601268370370},2021
-121.883591747,47.5090369920001,103,2021/12/31 08:00:00+00,018,018,,,28.41,21000,,,,Bothways,"At Milepost 27.91 A: BOTHWAYS UNDERCROSSING SR 90 WB, END ROUTE",{9256530E-B2EC-41AD-A78E-A7B4FDCFC286},2021
-122.510122522,47.249166949,104,2021/12/31 08:00:00+00,016,016,,,3.1800001,94000,,,,Bothways,After Milepost 3.02 A: RIGHT ON RAMP ORCHARD ST,{9426FF2A-FA69-4BB5-8C07-EC8056679F7D},2021
-122.938006403,46.9527490930001,105,2021/12/31 08:00:00+00,121,121,,,7.6700001,11000,,,,Bothways,"At Milepost 7.67 A: END BOTHWAYS BRIDGE SR 5, END ROUTE",{FBB35231-BCB6-4629-BEE5-F56331DD4464},2021
